id,severity,confidence,category,owner,productionBlocker,verified,title,files,lines,fixApproach,scoreImpact,status
"SEC-001","critical","confirmed","authorization","SHARED","true","true","Any authenticated user can escalate to system_admin by PATCHing their own user_profiles row (account & tenant takeover)","supabase/schema.sql; supabase/migrations/_archive/20260618_grant_table_privileges.sql","schema.sql:1740-1742","Add an explicit WITH CHECK to the update policy that freezes privileged columns, e.g. WITH CHECK (id = auth.uid() AND role = (select role from public.user_profiles where id = auth.uid()) AND company_id IS NOT DISTINCT FROM (select company_id from public.user_profiles where id = auth.uid())); OR, more robustly, add a BEFORE UPDATE trigger on user_profiles that rejects any change to role/company_id unless the session is service_role, and narrow the authenticated UPDATE grant to a column list excluding role/company_id. Claude can write the migration + fold into schema.sql (FABLE); OWNER must apply it to live AND immediately audit `select id,email,role,company_id from user_profiles where role in ('system_admin','executive')` for any already-escalated accounts.","Blocks go-live; single most severe issue in the RLS surface.","VERIFIED"
"SEC-002","critical","likely","rls-policy","SHARED","true","true","tickets UPDATE RLS policy lets an assigned supplier self-complete their own ticket (workflow + separation-of-duties bypass)","supabase/schema.sql; app/api/tickets/[id]/route.ts; app/api/tickets/[id]/transition/route.ts","schema.sql:1728-1730; app_supplier_ids schema.sql:1184-1192; user-client INSERT evidence app/api/tickets/route.ts:85","Since no user-scoped client updates tickets, drop the browser UPDATE policy entirely (or restrict USING to app_is_company_wide() only) so the service-role admin client remains the sole writer; if any browser UPDATE is ever needed, add a WITH CHECK that pins status/quote_value/completed_at to their old values (or a trigger that forbids status changes outside SECURITY DEFINER). Author as a migration for the human to apply to live.","Critical production blocker — direct authorization bypass of the completion/sign-off control.","VERIFIED"
"SEC-003","high","confirmed","tenant-isolation","FABLE","true","true","GET /api/suppliers returns every tenant's supplier directory (missing company_id filter)","app/api/suppliers/route.ts","22-43 (requireAdmin 22-29; GET 31-43; unfiltered query 36-39)","Make requireAdmin() select `role, company_id` and return the companyId (as [id]/route.ts already does); in GET add `.eq('company_id', ctx.companyId)`. Consider adding a rateLimit to GET as defense-in-depth. Optionally enforce a DB-side company_id NOT NULL so the admin path can't silently drop the tenant tag.","Cross-tenant data exposure — treat as launch blocker for multi-tenant confidentiality.","FIX IMPLEMENTED"
"SEC-004","high","confirmed","business-logic","FABLE","true","false","Store manager (client) can tamper with supplier quote amount/status — quotes UPDATE has no WITH CHECK","supabase/schema.sql","schema.sql:1524-1526","Restrict the quotes UPDATE policy to the supplier who owns the quote (supplier_id IN app_supplier_ids()) or admin roles, and add an explicit WITH CHECK; route client accept/decline through a server API that only flips status. Also tighten `quotes write` (INSERT, 1528-1530) so only suppliers/admins can insert quotes, not any ticket-visible store user.","","VERIFIED"
"SEC-005","high","confirmed","tenant-isolation","FABLE","true","true","GET /api/suppliers leaks every tenant's supplier directory (no company_id filter, RLS bypassed)","app/api/suppliers/route.ts","22-29 (requireAdmin), 31-43 (GET)","Either delete the dead route file (the UI page already redirects away) or scope it: capture company_id in requireAdmin() and add `.eq('company_id', companyId)` to the GET. Given suppliers[].company_id can be NULL for Motiv-pool rows, decide explicitly whether pool suppliers should be visible.","Confirmed cross-tenant PII disclosure — production blocker for go-live.","FIX IMPLEMENTED"
"SEC-006","high","likely","rls-policy","SHARED","true","true","signoffs (FOR ALL), quotes (UPDATE) and ticket_variations (FOR ALL) writable directly by see-ticket users — forged completions & quote-amount tampering","supabase/schema.sql","signoffs schema.sql:1585-1588; quotes update schema.sql:1524-1526; ticket_variations schema.sql:1702-1705; app_can_see_ticket schema.sql:1196-1209","Drop the browser INSERT/UPDATE/ALL write policies on quotes, signoffs and ticket_variations (keep the SELECT policies), leaving the service-role admin client as sole writer; or add strict WITH CHECK/role predicates. Ship as a migration.","High — record and financial tampering surface.","VERIFIED"
"SEC-007","medium","likely","authorization","FABLE","false","false","Losing/closed competitor supplier keeps write access to another supplier's awarded ticket (hasAccess ignores invite status)","app/api/tickets/[id]/transition/route.ts","353-362 (hasAccess), 97, 105-108, 128-311","In hasAccess(), gate the ticket_suppliers fallback on status IN ('invited','quoted') AND restrict it to commercial-phase statuses; for execution/close-out statuses require mine.includes(ticket.supplier_id). Alternatively resolve access per-action (quoting actions allow active invitees; execution actions require the awarded supplier).","Broken object-level authorization between competing supplier tenants on shared tickets.","FIX IMPLEMENTED"
"SEC-008","medium","likely","tenant-isolation","FABLE","false","false","supplierId / supplierIds written to ticket without validating the supplier belongs to the ticket's company or region (cross-tenant assignment)","app/api/tickets/[id]/transition/route.ts; app/api/tickets/[id]/assign/route.ts","transition: 130,145,152-153,261-263; assign: 30-31,67-96","Before writing supplier_id / inserting ticket_suppliers, look up each supplier id and assert it is company-scoped to ticket.company_id or a shared pool supplier; reject unknown/out-of-scope ids with 400/403.","Cross-tenant data exposure via unvalidated supplier assignment.","FIX IMPLEMENTED"
"SEC-009","medium","confirmed","tenant-isolation","FABLE","false","false","POST /api/suppliers creates supplier rows with NULL company_id (no tenant tag on write)","app/api/suppliers/route.ts","45-85 (requireAdmin omits company_id 22-29; insert 64-81)","Have requireAdmin() return companyId and add `company_id: ctx.companyId` to the insert (mirroring provision's add_supplier at provision/route.ts:189 which correctly sets company_id).","","FIX IMPLEMENTED"
"SEC-010","medium","confirmed","tenant-isolation","FABLE","false","false","POST /api/suppliers/bulk imports up to 500 suppliers with NULL company_id","app/api/suppliers/bulk/route.ts","12-56 (role check 13-18; row map 32-46; insert 52)","Resolve the caller's company_id (select it in the auth check) and set `company_id` on each mapped row before insert.","","FIX IMPLEMENTED"
